"Read","Total_Sales_Turnover","Total_Export_Turnover","Total_Value_Bad_Debts","Profit_Loss_After_Tax","Bank_name","Bank_Branch_Address","Pincode","Amount_Limit_Sanctioned","Amount_Outstanding","Outstanding_Date","Overdue_Amount","Overdue_Date","NameOfTheInsurance","ValueOfTheExport","BuyerNameOfInsuranceDetails","CreditInformation","NonPayment","StateInfo"
"Yes","90000023","80000023","80000023","90000023","Karnataka Bank Ltd","Pandharpur","412024","90000023","8000443","2021-11-08","90000023","2021-11-08","Future Generali India ","90000023","Future Generali India ","24","Test24","Telangana"
"Yes","90000024","80000024","80000024","90000024","Karur Vysya Bank","Parbhani","412025","90000024","8000444","2021-11-09","90000024","2021-11-09","Universal Sompo ","90000024","Universal Sompo ","25","Test25","Tripura"
"Yes","90000025","80000025","80000025","90000025","Kotak Bank","Pune","412026","90000025","8000445","2021-11-10","90000025","2021-11-10","Shriram General ","90000025","Shriram General ","26","Test26","Uttar Pradesh"
"Yes","90000026","80000026","80000026","90000026","Laxmi Vilas Bank","Ratnagiri","412027","90000026","8000446","2021-11-11","90000026","2021-11-11","Bharti AXA General","90000026","Bharti AXA General","27","Test27","Uttarakhand"
"Yes","90000027","80000027","80000027","90000027","Oriental Bank of Commerce","Sangli","412028","90000027","8000447","2021-11-12","90000027","2021-11-12","Raheja QBE ","90000027","Raheja QBE ","28","Test28","West Bengal"
"Yes","90000028","80000028","80000028","90000028","Punjab National Bank  Corporate Banking","Satara","412029","90000028","8000448","2021-11-13","90000028","2021-11-13","SBI General ","90000028","SBI General ","29","Test29","Andhra Pradesh"
"Yes","90000029","80000029","80000029","90000029","Punjab National Bank  Retail Banking","Sevagram","412030","90000029","8000449","2021-11-14","90000029","2021-11-14","L  T General ","90000029","Reliance General  ","30","Test30","Arunachal Pradesh"
"Yes","90000030","80000030","80000030","90000030","Punjab Sind Bank","Solapur","412031","90000030","8000450","2021-10-21","90000030","2021-10-21","Royal Sundaram  ","90000030","Royal Sundaram  ","31","Test31","Assam"
"Yes","90000031","80000031","80000031","90000031","Shamrao Vitthal Cooperative Bank","Thane","412032","90000031","8000451","2021-10-22","90000031","2021-10-22","Reliance General  ","90000031","Reliance General  ","32","Test32","Bihar"
"Yes","90000032","80000032","80000032","90000032","South Indian Bank","Ulhasnagar","412033","90000032","8000452","2021-10-23","90000032","2021-10-23","IFFCO TOKIO ","90000032","Reliance General  ","33","Test33","Chhattisgarh"
"Yes","90000033","80000033","80000033","90000033","State Bank of Bikaner Jaipur","Vasai Virar","412034","90000033","8000453","2021-10-24","90000033","2021-10-24","TATA AIG ","90000033","TATA AIG ","34","Test34","Goa"
"Yes","90000034","80000034","80000034","90000034","State Bank of Hyderabad","Sangli","412035","90000034","8000454","2021-10-25","90000034","2021-10-25","Bajaj Allianz ","90000034","Bajaj Allianz ","35","Test35","Gujarat"
"Yes","90000035","80000035","80000035","90000035","State Bank of India","Satara","412036","90000035","8000455","2021-10-26","90000035","2021-10-26","Cholamandalam MS ","90000035","Cholamandalam MS ","36","Test36","Haryana"
"Yes","90000036","80000036","80000036","90000036","State Bank of Mysore","Sevagram","412037","90000036","8000456","2021-10-27","90000036","2021-10-27","ICICI Lombard ","90000036","ICICI Lombard ","37","Test37","Himachal Pradesh"
"Yes","90000037","80000037","80000037","90000037","State Bank of Patiala","Solapur","412038","90000037","8000457","2021-10-28","90000037","2021-10-28","HDFC ERGO ","90000037","HDFC ERGO ","38","Test38","Jharkhand"
"Yes","90000038","80000038","80000038","90000038","State Bank of Travancore","Thane","412039","90000038","8000458","2021-10-29","90000038","2021-10-29","Future Generali India ","90000038","Future Generali India ","39","Test39","Karnataka"
"Yes","90000039","80000039","80000039","90000039","Syndicate Bank","Ulhasnagar","412040","90000039","8000459","2021-10-30","90000039","2021-10-30","Universal Sompo ","90000039","Universal Sompo ","40","Test40","Kerala"
"Yes","90000040","80000040","80000040","90000040","Tamilnad Mercantile Bank Ltd","Vasai Virar","412041","90000040","8000460","2021-10-31","90000040","2021-10-31","Shriram General ","90000040","Shriram General ","41","Test41","Madhya Pradesh"
"Yes","90000041","80000041","80000041","90000041","UCO Bank","Wardha","412042","90000041","8000461","2021-11-01","90000041","2021-11-01","Bharti AXA General","90000041","Bharti AXA General","42","Test42","Maharashtra"
"Yes","90000000","80000000","80000000","90000000","Allahabad Bank","Yavatmal","412001","90000000","8000462","2021-11-02","90000000","2021-11-02","Royal Sundaram  ","90000000","Royal Sundaram  ","1","Test1","Manipur"
"Yes","90000001","80000001","80000001","90000001","Andhra Bank","Akola","412002","90000001","8000463","2021-11-03","90000001","2021-11-03","Reliance General  ","90000001","Reliance General  ","2","Test2","Meghalaya"
"Yes","90000002","80000002","80000002","90000002","Axis Bank","Amravati","412003","90000002","8000464","2021-11-04","90000002","2021-11-04","IFFCO TOKIO ","90000002","TATA AIG ","3","Test3","Mizoram"
"Yes","90000003","80000003","80000003","90000003","Bank of Bahrain and Kuwait","Aurangabad","412004","90000003","8000465","2021-11-05","90000003","2021-11-05","TATA AIG ","90000003","TATA AIG ","4","Test4","Nagaland"
"Yes","90000004","80000004","80000004","90000004","Bank of Baroda","Bhandara","412005","90000004","8000466","2021-11-06","90000004","2021-11-06","Bajaj Allianz ","90000004","Bajaj Allianz ","5","Test5","Odisha"
"Yes","90000005","80000005","80000005","90000005","Bank of Baroda  Retail Banking","Bhusawal","412006","90000005","8000467","2021-11-07","90000005","2021-11-07","Cholamandalam MS ","90000005","Cholamandalam MS ","6","Test6","Punjab"
"Yes","90000006","80000006","80000006","90000006","Bank of India","Bid","412007","90000006","8000468","2021-11-08","90000006","2021-11-08","ICICI Lombard ","90000006","ICICI Lombard ","7","Test7","Rajasthan"
"Yes","90000007","80000007","80000007","90000007","Bank of Maharashtra","Buldhana","412008","90000007","8000469","2021-11-09","90000007","2021-11-09","HDFC ERGO ","90000007","HDFC ERGO ","8","Test8","Sikkim"
"Yes","90000008","80000008","80000008","90000008","Canara Bank","Chandrapur","412009","90000008","8000470","2021-11-10","90000008","2021-11-10","Future Generali India ","90000008","Future Generali India ","9","Test9","Tamil Nadu"
"Yes","90000009","80000009","80000009","90000009","Central Bank of India","Daulatabad","412010","90000009","8000471","2021-11-11","90000009","2021-11-11","Universal Sompo ","90000009","Universal Sompo ","10","Test10","Telangana"
"Yes","90000010","80000010","80000010","90000010","City Union Bank","Dhule","412011","90000010","8000472","2021-11-12","90000010","2021-11-12","Shriram General ","90000010","Shriram General ","11","Test11","Tripura"
"Yes","90000011","80000011","80000011","90000011","Corporation Bank","Jalgaon","412012","90000011","8000473","2021-11-13","90000011","2021-11-13","Bharti AXA General","90000011","Bharti AXA General","12","Test12","Uttar Pradesh"
"Yes","90000012","80000012","80000012","90000012","Deutsche Bank","Kalyan","412013","90000012","8000474","2021-11-14","90000012","2021-11-14","Raheja QBE ","90000012","Raheja QBE ","13","Test13","Uttarakhand"
"Yes","90000013","80000013","80000013","90000013","Development Credit Bank","Karli","412014","90000013","8000475","2021-10-21","90000013","2021-10-21","SBI General ","90000013","SBI General ","14","Test14","West Bengal"
"Yes","90000014","80000014","80000014","90000014","Dhanlaxmi Bank","Kolhapur","412015","90000014","8000476","2021-10-22","90000014","2021-10-22","L  T General ","90000014","Reliance General  ","15","Test15","Andhra Pradesh"
"Yes","90000015","80000015","80000015","90000015","Federal Bank","Mahabaleshwar","412016","90000015","8000477","2021-10-23","90000015","2021-10-23","Royal Sundaram  ","90000015","Royal Sundaram  ","16","Test16","Arunachal Pradesh"
"Yes","90000016","80000016","80000016","90000016","ICICI Bank","Malegaon","412017","90000016","8000478","2021-10-24","90000016","2021-10-24","Reliance General  ","90000016","Reliance General  ","17","Test17","Assam"
"Yes","90000017","80000017","80000017","90000017","IDBI Bank","Matheran","412018","90000017","8000479","2021-10-25","90000017","2021-10-25","IFFCO TOKIO ","90000017","Reliance General  ","18","Test18","Bihar"
"Yes","90000018","80000018","80000018","90000018","Indian Bank","Mumbai","412019","90000018","8000480","2021-10-26","90000018","2021-10-26","TATA AIG ","90000018","TATA AIG ","19","Test19","Chhattisgarh"
"Yes","90000019","80000019","80000019","90000019","Indian Overseas Bank","Nagpur","412020","90000019","8000481","2021-10-27","90000019","2021-10-27","Bajaj Allianz ","90000019","Bajaj Allianz ","20","Test20","Goa"
"Yes","90000020","80000020","80000020","90000020","IndusInd Bank","Nanded","412021","90000020","8000482","2021-10-28","90000020","2021-10-28","Cholamandalam MS ","90000020","Cholamandalam MS ","21","Test21","Gujarat"
"Yes","90000021","80000021","80000021","90000021","ING Vysya Bank","Nashik","412022","90000021","8000483","2021-10-29","90000021","2021-10-29","ICICI Lombard ","90000021","ICICI Lombard ","22","Test22","Haryana"
"Yes","90000022","80000022","80000022","90000022","Jammu and Kashmir Bank","Osmanabad","412023","90000022","8000484","2021-10-30","90000022","2021-10-30","HDFC ERGO ","90000022","HDFC ERGO ","23","Test23","Himachal Pradesh"
"Yes","90000023","80000023","80000023","90000023","Karnataka Bank Ltd","Pandharpur","412024","90000023","8000485","2021-10-31","90000023","2021-10-31","Future Generali India ","90000023","Future Generali India ","24","Test24","Jharkhand"
"Yes","90000024","80000024","80000024","90000024","Karur Vysya Bank","Parbhani","412025","90000024","8000486","2021-11-01","90000024","2021-11-01","Universal Sompo ","90000024","Universal Sompo ","25","Test25","Karnataka"
"Yes","90000025","80000025","80000025","90000025","Kotak Bank","Pune","412026","90000025","8000487","2021-11-02","90000025","2021-11-02","Shriram General ","90000025","Shriram General ","26","Test26","Kerala"
"Yes","90000026","80000026","80000026","90000026","Laxmi Vilas Bank","Ratnagiri","412027","90000026","8000488","2021-11-03","90000026","2021-11-03","Bharti AXA General","90000026","Bharti AXA General","27","Test27","Madhya Pradesh"
"Yes","90000027","80000027","80000027","90000027","Oriental Bank of Commerce","Sangli","412028","90000027","8000489","2021-11-04","90000027","2021-11-04","Raheja QBE ","90000027","Raheja QBE ","28","Test28","Maharashtra"
"Yes","90000028","80000028","80000028","90000028","Punjab National Bank  Corporate Banking","Satara","412029","90000028","8000490","2021-11-05","90000028","2021-11-05","SBI General ","90000028","SBI General ","29","Test29","Manipur"
"Yes","90000029","80000029","80000029","90000029","Punjab National Bank  Retail Banking","Sevagram","412030","90000029","8000491","2021-11-06","90000029","2021-11-06","L  T General ","90000029","Reliance General  ","30","Test30","Meghalaya"
"Yes","90000030","80000030","80000030","90000030","Punjab Sind Bank","Solapur","412031","90000030","8000492","2021-11-07","90000030","2021-11-07","Royal Sundaram  ","90000030","Royal Sundaram  ","31","Test31","Mizoram"
"Yes","90000031","80000031","80000031","90000031","Shamrao Vitthal Cooperative Bank","Thane","412032","90000031","8000493","2021-11-08","90000031","2021-11-08","Reliance General  ","90000031","Reliance General  ","32","Test32","Nagaland"
"Yes","90000032","80000032","80000032","90000032","South Indian Bank","Ulhasnagar","412033","90000032","8000494","2021-11-09","90000032","2021-11-09","IFFCO TOKIO ","90000032","Reliance General  ","33","Test33","Odisha"
"Yes","90000033","80000033","80000033","90000033","State Bank of Bikaner Jaipur","Sangli","412034","90000033","8000495","2021-11-10","90000033","2021-11-10","TATA AIG ","90000033","TATA AIG ","34","Test34","Punjab"
"Yes","90000034","80000034","80000034","90000034","State Bank of Hyderabad","Satara","412035","90000034","8000496","2021-11-11","90000034","2021-11-11","Bajaj Allianz ","90000034","Bajaj Allianz ","35","Test35","Rajasthan"
"Yes","90000035","80000035","80000035","90000035","State Bank of India","Sevagram","412036","90000035","8000497","2021-11-12","90000035","2021-11-12","Cholamandalam MS ","90000035","Cholamandalam MS ","36","Test36","Sikkim"
"Yes","90000036","80000036","80000036","90000036","State Bank of Mysore","Solapur","412037","90000036","8000498","2021-11-13","90000036","2021-11-13","ICICI Lombard ","90000036","ICICI Lombard ","37","Test37","Tamil Nadu"
"Yes","90000037","80000037","80000037","90000037","State Bank of Patiala","Thane","412038","90000037","8000499","2021-11-14","90000037","2021-11-14","HDFC ERGO ","90000037","HDFC ERGO ","38","Test38","Telangana"
"Yes","90000038","80000038","80000038","90000038","State Bank of Travancore","Ulhasnagar","412039","90000038","8000500","2021-10-21","90000038","2021-10-21","Future Generali India ","90000038","Future Generali India ","39","Test39","Tripura"
"Yes","90000039","80000039","80000039","90000039","Syndicate Bank","Vasai Virar","412040","90000039","8000501","2021-10-22","90000039","2021-10-22","Universal Sompo ","90000039","Universal Sompo ","40","Test40","Uttar Pradesh"
"Yes","90000040","80000040","80000040","90000040","Tamilnad Mercantile Bank Ltd","Wardha","412041","90000040","8000502","2021-10-23","90000040","2021-10-23","Shriram General ","90000040","Shriram General ","41","Test41","Uttarakhand"
"Yes","90000041","80000041","80000041","90000041","UCO Bank","Yavatmal","412042","90000041","8000503","2021-10-24","90000041","2021-10-24","Bharti AXA General","90000041","Bharti AXA General","42","Test42","West Bengal"
"Yes","90000000","80000000","80000000","90000000","Allahabad Bank","Ahmadnagar","412001","90000000","8000504","2021-10-25","90000000","2021-10-25","Royal Sundaram  ","90000000","Royal Sundaram  ","1","Test1","Andhra Pradesh"
"Yes","90000001","80000001","80000001","90000001","Andhra Bank","Akola","412002","90000001","8000505","2021-10-26","90000001","2021-10-26","Reliance General  ","90000001","Reliance General  ","2","Test2","Arunachal Pradesh"
"Yes","90000002","80000002","80000002","90000002","Axis Bank","Amravati","412003","90000002","8000506","2021-10-27","90000002","2021-10-27","IFFCO TOKIO ","90000002","TATA AIG ","3","Test3","Assam"
"Yes","90000003","80000003","80000003","90000003","Bank of Bahrain and Kuwait","Aurangabad","412004","90000003","8000507","2021-10-28","90000003","2021-10-28","TATA AIG ","90000003","TATA AIG ","4","Test4","Bihar"
"Yes","90000004","80000004","80000004","90000004","Bank of Baroda","Bhandara","412005","90000004","8000508","2021-10-29","90000004","2021-10-29","Bajaj Allianz ","90000004","Bajaj Allianz ","5","Test5","Chhattisgarh"
"Yes","90000005","80000005","80000005","90000005","Bank of Baroda  Retail Banking","Bhusawal","412006","90000005","8000509","2021-10-30","90000005","2021-10-30","Cholamandalam MS ","90000005","Cholamandalam MS ","6","Test6","Goa"
"Yes","90000006","80000006","80000006","90000006","Bank of India","Bid","412007","90000006","8000510","2021-10-31","90000006","2021-10-31","ICICI Lombard ","90000006","ICICI Lombard ","7","Test7","Gujarat"
"Yes","90000007","80000007","80000007","90000007","Bank of Maharashtra","Buldhana","412008","90000007","8000511","2021-11-01","90000007","2021-11-01","HDFC ERGO ","90000007","HDFC ERGO ","8","Test8","Haryana"
"Yes","90000008","80000008","80000008","90000008","Canara Bank","Chandrapur","412009","90000008","8000512","2021-11-02","90000008","2021-11-02","Future Generali India ","90000008","Future Generali India ","9","Test9","Himachal Pradesh"
"Yes","90000009","80000009","80000009","90000009","Central Bank of India","Daulatabad","412010","90000009","8000513","2021-11-03","90000009","2021-11-03","Universal Sompo ","90000009","Universal Sompo ","10","Test10","Jharkhand"
"Yes","90000010","80000010","80000010","90000010","City Union Bank","Dhule","412011","90000010","8000514","2021-11-04","90000010","2021-11-04","Shriram General ","90000010","Shriram General ","11","Test11","Karnataka"
"Yes","90000011","80000011","80000011","90000011","Corporation Bank","Jalgaon","412012","90000011","8000515","2021-11-05","90000011","2021-11-05","Bharti AXA General","90000011","Bharti AXA General","12","Test12","Kerala"
"Yes","90000012","80000012","80000012","90000012","Deutsche Bank","Kalyan","412013","90000012","8000516","2021-11-06","90000012","2021-11-06","Raheja QBE ","90000012","Raheja QBE ","13","Test13","Madhya Pradesh"
"Yes","90000013","80000013","80000013","90000013","Development Credit Bank","Karli","412014","90000013","8000517","2021-11-07","90000013","2021-11-07","SBI General ","90000013","SBI General ","14","Test14","Maharashtra"
"Yes","90000014","80000014","80000014","90000014","Dhanlaxmi Bank","Kolhapur","412015","90000014","8000518","2021-11-08","90000014","2021-11-08","L  T General ","90000014","Reliance General  ","15","Test15","Manipur"
"Yes","90000015","80000015","80000015","90000015","Federal Bank","Mahabaleshwar","412016","90000015","8000519","2021-11-09","90000015","2021-11-09","Royal Sundaram  ","90000015","Royal Sundaram  ","16","Test16","Meghalaya"
"Yes","90000016","80000016","80000016","90000016","ICICI Bank","Malegaon","412017","90000016","8000520","2021-11-10","90000016","2021-11-10","Reliance General  ","90000016","Reliance General  ","17","Test17","Mizoram"
"Yes","90000017","80000017","80000017","90000017","IDBI Bank","Matheran","412018","90000017","8000521","2021-11-11","90000017","2021-11-11","IFFCO TOKIO ","90000017","Reliance General  ","18","Test18","Nagaland"
"Yes","90000018","80000018","80000018","90000018","Indian Bank","Mumbai","412019","90000018","8000522","2021-11-12","90000018","2021-11-12","TATA AIG ","90000018","TATA AIG ","19","Test19","Odisha"
"Yes","90000019","80000019","80000019","90000019","Indian Overseas Bank","Nagpur","412020","90000019","8000523","2021-11-13","90000019","2021-11-13","Bajaj Allianz ","90000019","Bajaj Allianz ","20","Test20","Punjab"
"Yes","90000020","80000020","80000020","90000020","IndusInd Bank","Nanded","412021","90000020","8000524","2021-11-14","90000020","2021-11-14","Cholamandalam MS ","90000020","Cholamandalam MS ","21","Test21","Rajasthan"
"Yes","90000021","80000021","80000021","90000021","ING Vysya Bank","Nashik","412022","90000021","8000525","2021-10-21","90000021","2021-10-21","ICICI Lombard ","90000021","ICICI Lombard ","22","Test22","Sikkim"
"Yes","90000022","80000022","80000022","90000022","Jammu and Kashmir Bank","Osmanabad","412023","90000022","8000526","2021-10-22","90000022","2021-10-22","HDFC ERGO ","90000022","HDFC ERGO ","23","Test23","Tamil Nadu"
"Yes","90000023","80000023","80000023","90000023","Karnataka Bank Ltd","Pandharpur","412024","90000023","8000527","2021-10-23","90000023","2021-10-23","Future Generali India ","90000023","Future Generali India ","24","Test24","Telangana"
"Yes","90000024","80000024","80000024","90000024","Karur Vysya Bank","Parbhani","412025","90000024","8000528","2021-10-24","90000024","2021-10-24","Universal Sompo ","90000024","Universal Sompo ","25","Test25","Tripura"
"Yes","90000025","80000025","80000025","90000025","Kotak Bank","Pune","412026","90000025","8000529","2021-10-25","90000025","2021-10-25","Shriram General ","90000025","Shriram General ","26","Test26","Uttar Pradesh"
"Yes","90000026","80000026","80000026","90000026","Laxmi Vilas Bank","Ratnagiri","412027","90000026","8000530","2021-10-26","90000026","2021-10-26","Bharti AXA General","90000026","Bharti AXA General","27","Test27","Uttarakhand"
"Yes","90000027","80000027","80000027","90000027","Oriental Bank of Commerce","Sangli","412028","90000027","8000531","2021-10-27","90000027","2021-10-27","Raheja QBE ","90000027","Raheja QBE ","28","Test28","West Bengal"
"Yes","90000028","80000028","80000028","90000028","Punjab National Bank  Corporate Banking","Satara","412029","90000028","8000532","2021-10-28","90000028","2021-10-28","SBI General ","90000028","SBI General ","29","Test29","Andhra Pradesh"
"Yes","90000029","80000029","80000029","90000029","Punjab National Bank  Retail Banking","Sevagram","412030","90000029","8000533","2021-10-29","90000029","2021-10-29","L  T General ","90000029","Reliance General  ","30","Test30","Arunachal Pradesh"
"Yes","90000030","80000030","80000030","90000030","Punjab Sind Bank","Solapur","412031","90000030","8000534","2021-10-30","90000030","2021-10-30","Royal Sundaram  ","90000030","Royal Sundaram  ","31","Test31","Assam"
"Yes","90000031","80000031","80000031","90000031","Shamrao Vitthal Cooperative Bank","Thane","412032","90000031","8000535","2021-10-31","90000031","2021-10-31","Reliance General  ","90000031","Reliance General  ","32","Test32","Bihar"
"Yes","90000032","80000032","80000032","90000032","South Indian Bank","Ulhasnagar","412033","90000032","8000536","2021-11-01","90000032","2021-11-01","IFFCO TOKIO ","90000032","Reliance General  ","33","Test33","Chhattisgarh"
"Yes","90000033","80000033","80000033","90000033","State Bank of Bikaner Jaipur","Vasai Virar","412034","90000033","8000537","2021-11-02","90000033","2021-11-02","TATA AIG ","90000033","TATA AIG ","34","Test34","Goa"
"Yes","90000034","80000034","80000034","90000034","State Bank of Hyderabad","Wardha","412035","90000034","8000538","2021-11-03","90000034","2021-11-03","Bajaj Allianz ","90000034","Bajaj Allianz ","35","Test35","Gujarat"
"Yes","90000035","80000035","80000035","90000035","State Bank of India","Sangli","412036","90000035","8000539","2021-11-04","90000035","2021-11-04","Cholamandalam MS ","90000035","Cholamandalam MS ","36","Test36","Haryana"
"Yes","90000036","80000036","80000036","90000036","State Bank of Mysore","Satara","412037","90000036","8000540","2021-11-05","90000036","2021-11-05","ICICI Lombard ","90000036","ICICI Lombard ","37","Test37","Himachal Pradesh"
"Yes","90000037","80000037","80000037","90000037","State Bank of Patiala","Sevagram","412038","90000037","8000541","2021-11-06","90000037","2021-11-06","HDFC ERGO ","90000037","HDFC ERGO ","38","Test38","Jharkhand"
"Yes","90000038","80000038","80000038","90000038","State Bank of Travancore","Solapur","412039","90000038","8000542","2021-11-07","90000038","2021-11-07","Future Generali India ","90000038","Future Generali India ","39","Test39","Karnataka"
"Yes","90000039","80000039","80000039","90000039","Syndicate Bank","Thane","412040","90000039","8000543","2021-11-08","90000039","2021-11-08","Universal Sompo ","90000039","Universal Sompo ","40","Test40","Kerala"
"Yes","90000040","80000040","80000040","90000040","Tamilnad Mercantile Bank Ltd","Ulhasnagar","412041","90000040","8000544","2021-11-09","90000040","2021-11-09","Shriram General ","90000040","Shriram General ","41","Test41","Madhya Pradesh"
"Yes","90000041","80000041","80000041","90000041","UCO Bank","Vasai Virar","412042","90000041","8000545","2021-11-10","90000041","2021-11-10","Bharti AXA General","90000041","Bharti AXA General","42","Test42","Maharashtra"
"Yes","90000000","80000000","80000000","90000000","Allahabad Bank","Wardha","412001","90000000","8000546","2021-11-11","90000000","2021-11-11","Royal Sundaram  ","90000000","Royal Sundaram  ","1","Test1","Manipur"
"Yes","90000001","80000001","80000001","90000001","Andhra Bank","Yavatmal","412002","90000001","8000547","2021-11-12","90000001","2021-11-12","Reliance General  ","90000001","Reliance General  ","2","Test2","Meghalaya"
"Yes","90000002","80000002","80000002","90000002","Axis Bank","Amravati","412003","90000002","8000548","2021-11-13","90000002","2021-11-13","IFFCO TOKIO ","90000002","TATA AIG ","3","Test3","Mizoram"
"Yes","90000003","80000003","80000003","90000003","Bank of Bahrain and Kuwait","Aurangabad","412004","90000003","8000549","2021-11-14","90000003","2021-11-14","TATA AIG ","90000003","TATA AIG ","4","Test4","Nagaland"
"Yes","90000004","80000004","80000004","90000004","Bank of Baroda","Bhandara","412005","90000004","8000550","2021-10-21","90000004","2021-10-21","Bajaj Allianz ","90000004","Bajaj Allianz ","5","Test5","Odisha"
"Yes","90000005","80000005","80000005","90000005","Bank of Baroda  Retail Banking","Bhusawal","412006","90000005","8000551","2021-10-22","90000005","2021-10-22","Cholamandalam MS ","90000005","Cholamandalam MS ","6","Test6","Punjab"
"Yes","90000006","80000006","80000006","90000006","Bank of India","Bid","412007","90000006","8000552","2021-10-23","90000006","2021-10-23","ICICI Lombard ","90000006","ICICI Lombard ","7","Test7","Rajasthan"
"Yes","90000007","80000007","80000007","90000007","Bank of Maharashtra","Buldhana","412008","90000007","8000553","2021-10-24","90000007","2021-10-24","HDFC ERGO ","90000007","HDFC ERGO ","8","Test8","Sikkim"
"Yes","90000008","80000008","80000008","90000008","Canara Bank","Chandrapur","412009","90000008","8000554","2021-10-25","90000008","2021-10-25","Future Generali India ","90000008","Future Generali India ","9","Test9","Tamil Nadu"
"Yes","90000009","80000009","80000009","90000009","Central Bank of India","Daulatabad","412010","90000009","8000555","2021-10-26","90000009","2021-10-26","Universal Sompo ","90000009","Universal Sompo ","10","Test10","Telangana"
"Yes","90000010","80000010","80000010","90000010","City Union Bank","Dhule","412011","90000010","8000556","2021-10-27","90000010","2021-10-27","Shriram General ","90000010","Shriram General ","11","Test11","Tripura"
"Yes","90000011","80000011","80000011","90000011","Corporation Bank","Jalgaon","412012","90000011","8000557","2021-10-28","90000011","2021-10-28","Bharti AXA General","90000011","Bharti AXA General","12","Test12","Uttar Pradesh"
"Yes","90000012","80000012","80000012","90000012","Deutsche Bank","Kalyan","412013","90000012","8000558","2021-10-29","90000012","2021-10-29","Raheja QBE ","90000012","Raheja QBE ","13","Test13","Uttarakhand"
"Yes","90000013","80000013","80000013","90000013","Development Credit Bank","Karli","412014","90000013","8000559","2021-10-30","90000013","2021-10-30","SBI General ","90000013","SBI General ","14","Test14","West Bengal"
"Yes","90000014","80000014","80000014","90000014","Dhanlaxmi Bank","Kolhapur","412015","90000014","8000560","2021-10-31","90000014","2021-10-31","L  T General ","90000014","Reliance General  ","15","Test15","Andhra Pradesh"
"Yes","90000015","80000015","80000015","90000015","Federal Bank","Mahabaleshwar","412016","90000015","8000561","2021-11-01","90000015","2021-11-01","Royal Sundaram  ","90000015","Royal Sundaram  ","16","Test16","Arunachal Pradesh"
"Yes","90000016","80000016","80000016","90000016","ICICI Bank","Malegaon","412017","90000016","8000562","2021-11-02","90000016","2021-11-02","Reliance General  ","90000016","Reliance General  ","17","Test17","Assam"
"Yes","90000017","80000017","80000017","90000017","IDBI Bank","Matheran","412018","90000017","8000563","2021-11-03","90000017","2021-11-03","IFFCO TOKIO ","90000017","Reliance General  ","18","Test18","Bihar"
"Yes","90000018","80000018","80000018","90000018","Indian Bank","Mumbai","412019","90000018","8000564","2021-11-04","90000018","2021-11-04","TATA AIG ","90000018","TATA AIG ","19","Test19","Chhattisgarh"
"Yes","90000019","80000019","80000019","90000019","Indian Overseas Bank","Nagpur","412020","90000019","8000565","2021-11-05","90000019","2021-11-05","Bajaj Allianz ","90000019","Bajaj Allianz ","20","Test20","Goa"
"Yes","90000020","80000020","80000020","90000020","IndusInd Bank","Nanded","412021","90000020","8000566","2021-11-06","90000020","2021-11-06","Cholamandalam MS ","90000020","Cholamandalam MS ","21","Test21","Gujarat"
"Yes","90000021","80000021","80000021","90000021","ING Vysya Bank","Nashik","412022","90000021","8000567","2021-11-07","90000021","2021-11-07","ICICI Lombard ","90000021","ICICI Lombard ","22","Test22","Haryana"
"Yes","90000022","80000022","80000022","90000022","Jammu and Kashmir Bank","Osmanabad","412023","90000022","8000568","2021-11-08","90000022","2021-11-08","HDFC ERGO ","90000022","HDFC ERGO ","23","Test23","Himachal Pradesh"
"Yes","90000023","80000023","80000023","90000023","Karnataka Bank Ltd","Pandharpur","412024","90000023","8000569","2021-11-09","90000023","2021-11-09","Future Generali India ","90000023","Future Generali India ","24","Test24","Jharkhand"
"Yes","90000024","80000024","80000024","90000024","Karur Vysya Bank","Parbhani","412025","90000024","8000570","2021-11-10","90000024","2021-11-10","Universal Sompo ","90000024","Universal Sompo ","25","Test25","Karnataka"
"Yes","90000025","80000025","80000025","90000025","Kotak Bank","Pune","412026","90000025","8000571","2021-11-11","90000025","2021-11-11","Shriram General ","90000025","Shriram General ","26","Test26","Kerala"
"Yes","90000026","80000026","80000026","90000026","Laxmi Vilas Bank","Ratnagiri","412027","90000026","8000572","2021-11-12","90000026","2021-11-12","Bharti AXA General","90000026","Bharti AXA General","27","Test27","Madhya Pradesh"
"Yes","90000027","80000027","80000027","90000027","Oriental Bank of Commerce","Sangli","412028","90000027","8000573","2021-11-13","90000027","2021-11-13","Raheja QBE ","90000027","Raheja QBE ","28","Test28","Maharashtra"
"Yes","90000028","80000028","80000028","90000028","Punjab National Bank  Corporate Banking","Satara","412029","90000028","8000574","2021-11-14","90000028","2021-11-14","SBI General ","90000028","SBI General ","29","Test29","Manipur"
"Yes","90000029","80000029","80000029","90000029","Punjab National Bank  Retail Banking","Sevagram","412030","90000029","8000575","2021-10-21","90000029","2021-10-21","L  T General ","90000029","Reliance General  ","30","Test30","Meghalaya"
"Yes","90000030","80000030","80000030","90000030","Punjab Sind Bank","Solapur","412031","90000030","8000576","2021-10-22","90000030","2021-10-22","Royal Sundaram  ","90000030","Royal Sundaram  ","31","Test31","Mizoram"
